ID my.ID
98187_A10 CUM1
98187_B10 CUM2
98187_D12 CUM3
98188_A04 CUM4
98188_A07 CUM5
98188_B04 CUM6
98188_B07 CUM7
98188_C08 CUM8
98188_E11 CUM9
98188_G02 CUM10
98209_H12 CUM11
98210_A02 CUM12
98210_B02 CUM13
98210_C04 CUM14
98210_D04 CUM15
98210_E01 CUM16
98210_G01 CUM17
98210_H01 CUM18
98187_A08 CUM19
98187_B06 CUM20
98187_B12 CUM21
98187_C09 CUM22
98187_C10 CUM23
98187_D10 CUM24
98187_G05 CUM25
98187_G06 CUM26
98187_H05 CUM27
98187_H06 CUM28
98188_A05 CUM29
98188_A09 CUM30
98188_B01 CUM31
98188_E10 CUM32
98188_E12 CUM33
98188_F10 CUM34
98188_F12 CUM35
98188_G03 CUM36
98188_G10 CUM37
98188_H03 CUM38
98188_H08 CUM39
98188_H10 CUM40
98198_D01 CUM41
98198_E01 CUM42
98210_C07 CUM43
98210_D02 CUM44
98210_D07 CUM45
98210_E05 CUM46
98210_F05 CUM47
98210_G04 CUM48
98210_H04 CUM49
98187_A04 CUM50
98187_B04 CUM51
98187_E01 CUM52
98187_E05 CUM53
98187_E10 CUM54
98187_F04 CUM55
98187_F05 CUM56
98187_G09 CUM57
98187_G11 CUM58
98188_E07 CUM59
98188_E08 CUM60
98188_F09 CUM61
98210_C05 CUM62
98210_C09 CUM63
98210_D05 CUM64
98210_E08 CUM65
98210_F06 CUM66
98210_F08 CUM67
98187_A02 CUM68
98187_C02 CUM69
98187_C08 CUM70
98187_E11 CUM71
98187_F11 CUM72
98187_G12 CUM73
98187_H12 CUM74
98188_F03 CUM75
98188_F05 CUM76
98188_G04 CUM77
98210_A06 CUM78
98210_B07 CUM79
98210_E03 CUM80
98210_E09 CUM81
98210_F09 CUM82
98187_A09 CUM83
98187_F07 CUM84
98187_G03 CUM85
98187_G10 CUM86
98187_H03 CUM87
98187_H10 CUM88
98188_B02 CUM89
98188_E04 CUM90
98188_F04 CUM91
98188_G09 CUM92
98188_H09 CUM93
98188_H11 CUM94
98198_E03 CUM95
98210_B10 CUM96
98210_C08 CUM97
98210_D08 CUM98
98210_G05 CUM99
98210_H05 CUM100
98187_A03 CUM101
98187_B03 CUM102
98187_D07 CUM103
98187_G04 CUM104
98187_H08 CUM105
98188_A06 CUM106
98188_A11 CUM107
98188_C03 CUM108
98188_C06 CUM109
98188_D03 CUM110
98188_D10 CUM111
98188_E01 CUM112
98188_F01 CUM113
98188_H01 CUM114
98198_A03 CUM115
98198_B03 CUM116
98198_G01 CUM117
98210_A08 CUM118
98210_C01 CUM119
98210_E02 CUM120
98210_F02 CUM121
98210_F07 CUM122
98210_G02 CUM123
98210_G03 CUM124
98210_H02 CUM125
98187_C05 CUM126
98187_C06 CUM127
98187_D01 CUM128
98187_D06 CUM129
98187_E02 CUM130
98187_E06 CUM131
98187_E12 CUM132
98187_F06 CUM133
98187_F12 CUM134
98187_G01 CUM135
98187_H01 CUM136
98187_H02 CUM137
98188_B10 CUM138
98188_C12 CUM139
98188_E06 CUM140
98188_F06 CUM141
98188_G05 CUM142
98188_G06 CUM143
98188_G12 CUM144
98188_H06 CUM145
98198_A02 CUM146
98198_H02 CUM147
98209_D12 CUM148
98209_F12 CUM149
98210_A03 CUM150
98210_A05 CUM151
98210_B05 CUM152
98210_F04 CUM153
98210_G06 CUM154
98210_G08 CUM155
98210_H06 CUM156
98210_H08 CUM157
98187_A07 CUM158
98187_B01 CUM159
98187_B07 CUM160
98187_B11 CUM161
98187_E03 CUM162
98187_E08 CUM163
98187_F03 CUM164
98187_F08 CUM165
98188_A03 CUM166
98188_B03 CUM167
98188_D04 CUM168
98188_G07 CUM169
98198_C03 CUM170
98198_D03 CUM171
98210_B03 CUM172
98210_B04 CUM173
98210_C03 CUM174
98210_C06 CUM175
98210_D03 CUM176
98187_C01 CUM177
98187_C04 CUM178
98187_C12 CUM179
98187_D03 CUM180
98187_F02 CUM181
98187_G07 CUM182
98188_C01 CUM183
98188_C02 CUM184
98188_C05 CUM185
98188_C11 CUM186
98188_D01 CUM187
98188_D05 CUM188
98188_D09 CUM189
98188_E02 CUM190
98188_E05 CUM191
98198_E02 CUM192
98198_F02 CUM193
98214_B12 CUM194
98214_H12 CUM195
98215_A09 CUM196
98215_B11 CUM197
98215_D12 CUM198
98216_B02 CUM199
94250_C03 CUM200
94250_D02 CUM201
94250_E04 CUM202
